Peak Brightness Date/Time (UT),Altitude (km),Latitude (deg),Longitude (deg),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
4/10/2015 1:14,36.44166667,42.8S,8.2E,15.03843686,11.03333333,5.758333333,-8.441666667,6.50E+10,0.21
4/8/2015 4:06,36.3,25.5S,51.5E,19.22940457,8,-7.9,-15.6,1.73E+11,0.49
4/3/2015 1:39,27.50833333,8.4N,157.9W,17.02931092,-9.058333333,9.275,11.04166667,4.20E+10,0.14
3/30/2015 21:33,33.1,36.1S,5.5W,13.82823199,-13.7,0.8,-1.7,6.40E+10,0.2
3/18/2015 0:04,50,5.4S,159.3E,15.4452865,8.858333333,-8.641666667,9.241666667,1.21E+11,0.36
3/11/2015 6:18,35.2,8.0N,119.1E,19.91230775,5.5,-16,-10.5,7.20E+10,0.23
3/8/2015 4:26,37.4,39.1S,118.6W,12.80421209,-7.975,-4.816666667,-8.783333333,2.00E+10,0.073
3/4/2015 4:30,39.8,15.9S,88.1E,17.97470445,7.8,-2.5,-16,5.50E+10,0.18
2/26/2015 22:06,33.7,68.0N,149.0W,21.08767412,5.6,-20.2,-2.3,1.88E+11,0.53
2/25/2015 10:53,42,12.4N,122.4W,15.85480343,12.16666667,6.283333333,7.991666667,5.80E+10,0.19
2/17/2015 13:19,39,8.0S,11.2W,28.77429408,-28.2,4.6,3.4,3.30E+10,0.11
1/9/2015 17:31,37.18333333,23.3S,49.2W,17.43972756,-9.525,-7.491666667,-12.54166667,2.20E+10,0.079
1/9/2015 10:41,36,2.0N,28.8E,17.51599269,-10.7,11.6,-7.6,1.39E+11,0.41
1/7/2015 1:05,45.5,45.7N,26.9E,35.71778269,-35.4,-4.4,1.8,1.36E+11,0.4
1/2/2015 13:39,38.1,31.1S,140.0E,18.1,4.5,-10,-14.4,2.00E+10,0.073
12/13/2014 2:53,30.7,86.7N,162.1W,21.721418,15.3,-7.8,-13.3,4.40E+10,0.15
12/12/2014 6:48,26.3,33.5N,144.9E,12.03868764,11.5,-2.2,-2.8,3.30E+10,0.11
12/9/2014 21:19,26.3,76.6N,96.3E,13.25391714,6.291666667,-7.075,9.275,7.80E+10,0.24
11/28/2014 11:47,26.1,45.8S,172.7W,13.37946187,0.4,13.3,-1.4,7.00E+11,1.7
11/27/2014 12:12,38,18.8S,73.4W,13.94408228,-6.975,-8.058333333,-8.991666667,5.50E+10,0.18
11/26/2014 23:16,23.3,69.5S,179.7W,25.26044338,21.3,13.4,2.2,1.18E+11,0.35
11/26/2014 17:40,37,68.2S,24.0W,19.91406538,-7,9.4,16.1,1.05E+11,0.32
11/4/2014 20:13,22.2,43.1N,115.8E,16.04805284,-7.2,-7.7,-12.1,1.56E+11,0.45
10/21/2014 18:55,41.04166667,22.2N,132.9W,13.71536294,7.725,-7.533333333,-8.466666667,3.40E+10,0.12
10/17/2014 14:07,39,4.6S,66.3W,13.62900043,-6.275,-9.325,7.708333333,7.20E+10,0.23
10/14/2014 10:25,27.2,2.0S,119.2E,16.87779606,15,-3.5,-6.9,2.90E+10,0.1
10/6/2014 20:02,36.64166667,43.7S,85.7E,12.75275569,8.05,-5.7,8.083333333,3.90E+10,0.13
9/9/2014 18:55,32.5,3.2N,137.2E,13.99436394,7.633333333,8.7,7.866666667,2.80E+10,0.098
9/5/2014 21:37,36.40833333,22.7N,150.0W,17.176029,9.15,-10.00833333,-10.54166667,3.50E+10,0.12
8/29/2014 23:15,37.30833333,6.2S,49.9W,16.08158453,-9.625,-9.6,-8.591666667,2.60E+10,0.092
8/28/2014 3:07,34.66666667,3.2N,45.4W,13.69146378,-7.2,10.23333333,-5.558333333,3.40E+10,0.12
8/23/2014 6:29,22.2,61.7S,132.6E,17.60766878,-2.3,16.5,5.7,3.82E+12,7.6
7/29/2014 7:38,37.16666667,49.2S,172.2W,19.51392309,9.925,11.70833333,-12.05,7.30E+10,0.23
7/29/2014 3:07,34.29166667,33.9S,115.9W,13.28147729,7.625,9.541666667,-5.216666667,5.30E+10,0.17
6/28/2014 2:40,26.3,18.9N,141.2E,16.32482772,12,-10.5,3.5,2.45E+11,0.67
6/26/2014 5:54,28.5,71.5S,93.4E,11.23832728,7,8.3,2.9,6.10E+10,0.2
5/29/2014 1:12,28.7,21.9N,131.1W,14.7517466,6.208333333,-10.575,8.2,5.80E+10,0.19
5/16/2014 20:06,30.8,39.4S,95.9W,18.55316685,2.9,-12.5,13.4,1.36E+11,0.4
5/16/2014 12:42,44,44.2S,176.2W,16.4550904,14.4,6.5,4.6,3.09E+11,0.82
5/8/2014 19:42,35.4,36.9S,87.3E,19.00578859,-2,9.9,-16.1,1.05E+12,2.4
3/29/2014 13:45,30.7,28.7S,121.5E,16.31349135,10,2.2,-12.7,3.90E+10,0.13
3/18/2014 11:02,30.5,0.0N,111.8W,18.08072562,-13.10833333,-10.31666667,-6.975,5.40E+11,1.3
3/3/2014 15:00,35.625,29.0S,94.9W,18.35205294,8.816666667,9.375,13.08333333,9.40E+10,0.29
