Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
9/2/2015 20:10,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18,3.70E+10,0.13
7/19/2015 7:06,20.6N,87.6W,22,17.8,9.4,13,7.8,2.30E+10,0.082
7/4/2015 1:40,38.6N,103.1E,46.3,49,0.9,-40.4,-27.7,5.60E+10,0.18
6/14/2015 3:03,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26,7.10E+10,0.22
5/10/2015 7:45,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,1.43E+11,0.42
5/7/2015 20:34,21.5S,29.3W,37,17.3,-16.2,-5.8,1.4,5.20E+10,0.17
4/30/2015 10:21,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,1.05E+11,0.32
4/21/2015 1:42,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,8.80E+10,0.27
4/8/2015 4:06,25.5S,51.5E,36.3,19.2,8,-15.6,-7.9,1.73E+11,0.49
3/30/2015 21:33,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,6.40E+10,0.2
3/11/2015 6:18,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16,7.20E+10,0.23
3/4/2015 4:30,15.9S,88.1E,39.8,18,7.8,-16,-2.5,5.50E+10,0.18
2/26/2015 22:06,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,1.88E+11,0.53
2/17/2015 13:19,8.0S,11.2W,39,28.8,-28.2,3.4,4.6,3.30E+10,0.11
1/9/2015 10:41,2.0N,28.8E,36,17.5,-10.7,-7.6,11.6,1.39E+11,0.41
1/7/2015 1:05,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,1.36E+11,0.4
1/2/2015 13:39,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10,2.00E+10,0.073
12/13/2014 2:53,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,4.40E+10,0.15
12/12/2014 6:48,33.5N,144.9E,26.3,12,11.5,-2.8,-2.2,3.30E+10,0.11
11/28/2014 11:47,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,7.00E+11,1.7
11/26/2014 23:16,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,1.18E+11,0.35
11/26/2014 17:40,68.2S,24.0W,37,19.9,-7,16.1,9.4,1.05E+11,0.32
11/4/2014 20:13,43.1N,115.8E,22.2,16,-7.2,-12.1,-7.7,1.56E+11,0.45
10/14/2014 10:25,2.0S,119.2E,27.2,16.9,15,-6.9,-3.5,2.90E+10,0.1
8/23/2014 6:29,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3.82E+12,7.6
6/28/2014 2:40,18.9N,141.2E,26.3,12.4,12,3.5,-10.5,2.45E+11,0.67
6/26/2014 5:54,71.5S,93.4E,28.5,11.2,7,2.9,8.3,6.10E+10,0.2
